Tiempo (s),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
0.48,0.186,1.64,10.6
0.49,0.203,1.75,10.3
0.5,0.221,1.84,8.4
0.51,0.239,1.92,8.4
0.52,0.259,2.01,14.8
0.53,0.28,2.21,16
0.54,0.303,2.33,6.3
0.55,0.326,2.34,6
0.56,0.35,2.45,10.1
0.57,0.375,2.54,6.2
0.58,0.401,2.57,6.6
0.59,0.427,2.67,11.4
0.6,0.454,2.8,11.4
0.61,0.483,2.9,10.6
0.62,0.512,3.01,10.4
0.63,0.543,3.11,7.9
0.64,0.574,3.17,8.1
0.65,0.606,3.27,10.1
0.66,0.64,3.37,9.6
0.67,0.674,3.46,9.4
0.68,0.709,3.56,9.3
0.69,0.745,3.65,15.8
0.7,0.782,3.88,16.9
0.71,0.822,3.98,4.6
0.72,0.862,3.97,-7.5
0.73,0.902,3.83,5.6
0.74,0.938,4.08,28.3
0.75,0.983,4.4,12.1
0.76,1.026,4.32,-0.1
0.77,1.07,4.4,9
0.78,1.114,4.5,7.6
0.79,1.16,4.55,14.9
0.8,1.205,4.8,19.1
0.81,1.256,4.93,8.6
